#Mass	 #Pos	 #RadialVel	 #TransVel	 #Potential
   0.0010	    0.8018	    0.0338	    0.5862	   -0.0584
   0.0010	    0.8020	    0.1845	    0.3147	   -0.0210
   0.0010	    0.8037	   -0.5309	    0.7412	   -0.0109
   0.0010	    0.8040	   -0.2901	    0.4477	   -0.0105
   0.0010	    0.8095	   -0.2646	   -0.6558	   -0.0190
   0.0010	    0.8096	    0.7249	    0.2177	   -0.0190
   0.0010	    0.8141	   -0.2409	   -0.5345	   -0.0114
   0.0010	    0.8143	    0.3360	    0.5851	   -0.0116
   0.0010	    0.8152	    0.0361	   -0.2198	   -0.0085
   0.0010	    0.8180	   -0.0003	   -0.6054	   -0.1099
   0.0010	    0.8180	    0.7409	   -0.1955	   -0.1100
   0.0010	    0.8183	   -0.1825	   -0.5875	   -0.0122
   0.0010	    0.8208	   -0.3927	   -0.3285	   -0.0070
   0.0010	    0.8232	   -0.5731	    0.1915	   -0.0067
   0.0010	    0.8281	    0.1883	   -0.5238	   -0.0155
   0.0010	    0.8282	    0.2385	    0.2748	   -0.0163
   0.0010	    0.8286	    0.1486	    0.5580	   -0.0117
   0.0010	    0.8293	    0.3444	   -0.4649	   -0.0092
   0.0010	    0.8314	    0.0404	    0.2126	   -0.0093
   0.0010	    0.8318	   -0.1668	    0.4265	   -0.0093
   0.0010	    0.8335	   -0.4307	   -0.3454	   -0.0071
   0.0010	    0.8380	    0.2819	   -0.3018	   -0.0077
   0.0010	    0.8387	    0.2341	   -0.5128	   -0.0079
   0.0010	    0.8402	    0.4306	   -0.5315	   -0.0073
   0.0010	    0.8425	    0.2302	   -0.4128	   -0.0113
   0.0010	    0.8427	    0.1731	    0.3107	   -0.0114
   0.0010	    0.8438	   -0.5037	    0.3727	   -0.0075
   0.0010	    0.8486	   -0.7358	   -0.4267	   -0.0069
   0.0010	    0.8496	   -0.0199	   -0.6705	   -0.0070
   0.0010	    0.8514	   -0.4459	   -0.6843	   -0.0065
   0.0010	    0.8549	   -0.4821	    0.3381	   -0.0070
   0.0010	    0.8558	    0.1474	    0.4737	   -0.0071
   0.0010	    0.8591	    0.4280	    1.0166	   -0.0090
   0.0010	    0.8595	    0.4584	   -0.2851	   -0.0094
   0.0010	    0.8605	    0.0205	   -0.6043	   -0.0078
   0.0010	    0.8622	   -0.0904	   -0.3477	   -0.0070
   0.0010	    0.8639	   -0.5774	   -0.4236	   -0.0066
   0.0010	    0.8684	   -0.6849	   -0.4541	   -0.0078
   0.0010	    0.8690	   -0.4317	   -0.3727	   -0.0089
   0.0010	    0.8696	    0.3426	    0.1361	   -0.0083
   0.0010	    0.8729	   -0.0015	   -0.6300	   -0.0065
   0.0010	    0.8749	   -0.7125	   -0.4746	   -0.0088
   0.0010	    0.8753	    0.1726	    0.7537	   -0.0087
   0.0010	    0.8773	   -0.3480	    0.8314	   -0.0063
   0.0010	    0.8799	    0.7404	    0.5361	   -0.0057
   0.0010	    0.8871	    0.1173	   -0.2708	   -0.0060
   0.0010	    0.8889	    0.3649	    0.2862	   -0.0080
   0.0010	    0.8894	   -0.1641	   -0.3871	   -0.0080
   0.0010	    0.8910	   -0.0553	   -0.7379	   -0.0062
   0.0010	    0.8936	    0.2037	    0.2468	   -0.0055
   0.0010	    0.9032	   -0.3588	   -1.0172	   -0.0061
   0.0010	    0.9043	   -0.4610	    0.2674	   -0.0063
   0.0010	    0.9074	   -0.2729	   -0.6789	   -0.0062
   0.0010	    0.9093	    0.4355	    0.1122	   -0.0092
   0.0010	    0.9096	   -0.4137	    0.3438	   -0.0091
   0.0010	    0.9136	   -0.2624	   -0.6857	   -0.0064
   0.0010	    0.9153	   -0.0311	   -0.3679	   -0.0067
   0.0010	    0.9181	    0.0464	    0.1750	   -0.0215
   0.0010	    0.9181	    0.2545	    0.7054	   -0.0217
   0.0010	    0.9187	    0.0980	    0.4765	   -0.0090
   0.0010	    0.9231	    0.3129	    0.2873	   -0.0108
   0.0010	    0.9233	   -0.2813	   -0.2726	   -0.0108
   0.0010	    0.9263	    0.3975	   -0.2619	   -0.0067
   0.0010	    0.9289	   -0.0968	    0.7355	   -0.0074
   0.0010	    0.9304	   -0.1825	    0.2021	   -0.0088
   0.0010	    0.9312	    0.2045	   -0.5799	   -0.0119
